Date,Open,High,Low,Close
31 Dec 2019,28495,28549.5,28270.25,28307.55
30 Dec 2019,28528.95,28612.95,28406.7,28484.85
27 Dec 2019,28354.5,28500.25,28319.9,28476.8
26 Dec 2019,28409.1,28435.25,28259.75,28280.25
24 Dec 2019,28423.7,28430.4,28318.75,28382.85
23 Dec 2019,28383.55,28523.1,28262.8,28395.75
20 Dec 2019,28282.25,28436.35,28270.95,28406.25
19 Dec 2019,28154,28287.1,28142.8,28245.3
18 Dec 2019,28086.15,28171.3,27908.9,28138.2
17 Dec 2019,27977.4,28066.3,27921,28031.75
16 Dec 2019,28095.9,28121.6,27896,27915.25
13 Dec 2019,27906.2,28102,27893.3,28076.7
12 Dec 2019,27734.3,27880,27675.25,27793.8
11 Dec 2019,27509.7,27629.1,27347.3,27594.25
10 Dec 2019,27786.45,27857.05,27430,27463.65
09 Dec 2019,27870.3,27989.35,27705,27758.05
06 Dec 2019,28221.2,28264.95,27741.55,27854.05
05 Dec 2019,28337.9,28399.85,28094.75,28145.55
04 Dec 2019,28239.1,28400.35,28187.05,28364.2
03 Dec 2019,28608.45,28611.35,28265.15,28333.2
02 Dec 2019,28581.05,28592.1,28378,28539.45
29 Nov 2019,28798.05,28906.6,28468.05,28546.45
28 Nov 2019,28500.85,28835.35,28454.95,28765.6
27 Nov 2019,28357.4,28497.95,28295.3,28468.7
26 Nov 2019,28554.3,28673.45,28162.1,28264.05
25 Nov 2019,28090.05,28475.2,28084.35,28443.5
22 Nov 2019,28157.7,28177.65,27972.15,28059.2
21 Nov 2019,28360.8,28360.8,28099.3,28132.6
20 Nov 2019,28178.7,28349.65,28164.65,28245.95
19 Nov 2019,28152.1,28174.95,28006.7,28071.9
18 Nov 2019,28262.15,28302.75,28119.45,28154
15 Nov 2019,28266.65,28329.3,28103.65,28195.55
14 Nov 2019,28324.65,28327.35,28077.95,28175.6
13 Nov 2019,28535.85,28746.45,28214.2,28298.6
11 Nov 2019,28323.9,28560.75,28296,28451.15
08 Nov 2019,28721.4,28810.9,28342.05,28387.25
07 Nov 2019,28673.15,28735.6,28579.2,28686.25
06 Nov 2019,28449.6,28613.1,28292.6,28534.2
05 Nov 2019,28670.85,28695.7,28375.1,28442.35
04 Nov 2019,28760.05,28913.9,28608.7,28652.9
01 Nov 2019,28794.25,28953.7,28671.05,28706.55
31 Oct 2019,28757.75,28883.15,28647.75,28722.1
30 Oct 2019,28557.6,28738.6,28491.6,28636.4
29 Oct 2019,28105.35,28480.25,28049.95,28447.6
27 Oct 2019,28145.4,28197.65,28067.6,28123.2
25 Oct 2019,28054.65,28089.45,27767.75,27959.55
24 Oct 2019,28220.75,28291.6,27932.95,28045.25
23 Oct 2019,28202.65,28326.05,28007.75,28140.45
22 Oct 2019,28088,28379.95,28049.4,28163.95
18 Oct 2019,27665.2,28065.1,27605.5,28014.15
17 Oct 2019,27275.6,27650.6,27230.8,27627.6
16 Oct 2019,27085.1,27285.25,27041.9,27240.55
15 Oct 2019,26829.75,27052.6,26803.25,27010.6
14 Oct 2019,26679.6,26899.8,26622.7,26791.6
11 Oct 2019,26556.8,26699.1,26385.15,26598.6
10 Oct 2019,26575.8,26684,26421.4,26492.85
09 Oct 2019,26320.9,26681.25,26169.05,26660.3
07 Oct 2019,26651.8,26680.45,26256.7,26295.05
04 Oct 2019,27136.25,27180.5,26641.1,26681.6
03 Oct 2019,27151.6,27285.35,26924.3,27023.2
01 Oct 2019,27630.5,27758.65,26901.8,27249.85
30 Sep 2019,27794.4,27807.7,27380.1,27520.3
27 Sep 2019,27790.7,27955.2,27710.05,27818.1
26 Sep 2019,27517.6,27929.35,27512.95,27811
25 Sep 2019,27874.15,27891.95,27408.6,27484.5
24 Sep 2019,27972.2,28030.4,27679.35,27942.55
23 Sep 2019,27841.7,28152.15,27731.2,27912.35
20 Sep 2019,26026.45,27476.35,25812.05,27406.85
19 Sep 2019,26178.7,26189,25814.75,25922.1
18 Sep 2019,26127.3,26193.1,25948.1,26149.9
17 Sep 2019,26436.6,26476.65,25947.4,25987.95
16 Sep 2019,26282.15,26494.6,26163.4,26431.2
13 Sep 2019,26375.05,26486.45,26104.45,26460.1
12 Sep 2019,26380,26495.85,26253.15,26285
11 Sep 2019,26184.95,26363.6,26112.05,26309.65
09 Sep 2019,26048.65,26189.45,25970.4,26141
06 Sep 2019,26025.2,26082.35,25883.95,26053.95
05 Sep 2019,25878.95,26036.8,25853.55,25935.05
04 Sep 2019,25858.55,25893.75,25511.95,25800.55
03 Sep 2019,26259.85,26310.35,25770.45,25834.35
30 Aug 2019,26155.65,26457.2,26001.45,26405.05
29 Aug 2019,25979.6,26099.2,25820.25,26046.9
28 Aug 2019,26204.2,26234.25,25880.5,26032.15
27 Aug 2019,25929.25,26226.9,25923.3,26156.25
26 Aug 2019,25749,25849.55,25174.25,25813.55
23 Aug 2019,25081.4,25418,24873.25,25345.1
22 Aug 2019,25460.85,25476.85,25078.75,25136.9
21 Aug 2019,25827.2,25837.75,25455.55,25482.05
20 Aug 2019,26005.55,26032.85,25708.4,25783.45
19 Aug 2019,26078.4,26266.05,25947.05,25981.65
16 Aug 2019,25837.5,26021.85,25693.65,25999.6
14 Aug 2019,25659.3,25958.95,25553.65,25914
13 Aug 2019,26228.3,26228.9,25583.05,25636.1
09 Aug 2019,26159.65,26443,26133.6,26236.6
08 Aug 2019,25875.45,26117.45,25745.4,26050.65
07 Aug 2019,25893.6,26054.25,25675.15,25730
06 Aug 2019,25502.7,25930.1,25498.7,25848.5
05 Aug 2019,25639.6,25728.1,25337.8,25601.75
02 Aug 2019,25607.4,25953.4,25336.7,25811.25
01 Aug 2019,25957.5,26107.75,25508.25,25732.95
31 Jul 2019,25748.25,26111.85,25490.05,26071.3
30 Jul 2019,26207,26397.65,25796.4,25838
29 Jul 2019,26532.3,26559.05,26086.65,26197.35
26 Jul 2019,26342.35,26629.5,26253.95,26553.9
25 Jul 2019,26221.6,26476.65,26215.3,26302.15
24 Jul 2019,26569.9,26638.45,26064.95,26133.9
23 Jul 2019,26706.25,26752,26495.7,26560.25
22 Jul 2019,26615.55,26713.9,26331.85,26676.1
19 Jul 2019,27264.6,27323.2,26598.3,26656.15
18 Jul 2019,27410.7,27417.5,27094.4,27120.05
17 Jul 2019,27371.5,27547.5,27354.95,27428.35
16 Jul 2019,27072.45,27395,27031.1,27365.5
15 Jul 2019,27039.6,27148.7,26929.7,27096.3
12 Jul 2019,26977.75,27139.65,26933.25,26983.65
11 Jul 2019,26858.25,26949.4,26758.1,26932.1
10 Jul 2019,26897.2,26996.35,26689.7,26739.5
09 Jul 2019,26806.85,26979,26607.2,26953.15
08 Jul 2019,27206.8,27216.15,26708.85,26810.65
05 Jul 2019,27820.55,27877,27297.85,27378
04 Jul 2019,27726.45,27817.9,27721.7,27762
03 Jul 2019,27642.35,27721.6,27535.55,27704.9
02 Jul 2019,27547.95,27577.55,27435.75,27562.85
01 Jul 2019,27436.85,27528.75,27402.15,27471.75
28 Jun 2019,27431.4,27492.25,27285.8,27332.5
27 Jun 2019,27269.5,27417.3,27252,27381.35
26 Jun 2019,26981.1,27304.1,26954.2,27246.3
25 Jun 2019,26886.9,27054.1,26811.6,27028.45
24 Jun 2019,26981.7,27029.2,26884.2,26960.25
21 Jun 2019,26930.45,27031.55,26806.35,26926.2
20 Jun 2019,26522.5,27058.85,26392.9,26998.15
19 Jun 2019,26809.9,26893.75,26411.9,26551.8
18 Jun 2019,26691.6,26811.5,26580.2,26705
17 Jun 2019,27072.15,27087.65,26636.95,26672.3
14 Jun 2019,27371.85,27385.25,27025.05,27093
13 Jun 2019,27383.7,27408.9,27147.15,27379.2
12 Jun 2019,27599.05,27606.5,27352.7,27395.25
11 Jun 2019,27508.75,27645.05,27324.05,27613.2
10 Jun 2019,27490.2,27626.65,27400.75,27456.4
07 Jun 2019,27370.5,27542.05,27127.65,27382.75
06 Jun 2019,28029.9,28029.9,27336.95,27374.15
04 Jun 2019,28080.5,28218.25,27950.7,27970.1
03 Jun 2019,27943.95,28165.2,27797.35,28143.05
31 May 2019,27772,27964.65,27626.65,27839.5
30 May 2019,27670.05,27709.9,27583.55,27648.55
29 May 2019,27860.1,27861.55,27597.9,27625.35
28 May 2019,27838.8,27907.25,27681,27824.75
27 May 2019,27496.55,27740.9,27415.05,27719.9
24 May 2019,27080,27626.65,27071.95,27572.65
23 May 2019,27203.55,27533.85,26883.45,26947.1
22 May 2019,26927.15,26937.4,26676.7,26848.05
21 May 2019,27180.4,27250.5,26786.1,26859.05
20 May 2019,26828.95,27104.4,26655.3,27081.4
17 May 2019,25984.55,26263,25910.6,26226.5
16 May 2019,26013.1,26056.9,25729.05,26004.7
15 May 2019,26161.4,26292.65,25937.25,26015.45
14 May 2019,26026.75,26260.15,25815.7,26130
13 May 2019,26507.4,26520.15,26024,26074.6
10 May 2019,26643.35,26718.1,26500.8,26558.95
09 May 2019,26649.25,26727.95,26463.65,26632.6
08 May 2019,26983.05,26994.25,26655.75,26707.75
07 May 2019,27294.65,27361.55,26999.3,27020.4
06 May 2019,27345.95,27426.25,27155.1,27202.9
03 May 2019,27656.3,27732.25,27486.05,27537.75
02 May 2019,27750.4,27897.2,27617.6,27659.1
30 Apr 2019,27888.55,27921.55,27608.05,27800.25
26 Apr 2019,28015.6,28090.8,27875.6,27921.05
25 Apr 2019,28093.65,28186.3,27874.95,27914.95
24 Apr 2019,27885.55,28085,27811.95,28057.85
23 Apr 2019,27967.55,28050.5,27842.25,27874.85
22 Apr 2019,28317.15,28326.85,27882.45,27907.25
18 Apr 2019,28593.75,28639.7,28304.1,28419.55
16 Apr 2019,28482.05,28588.3,28461.4,28542.45
15 Apr 2019,28351.35,28406.15,28262.65,28389.5
12 Apr 2019,28171.6,28295.7,28165,28271.1
11 Apr 2019,28069.8,28181.15,27993.3,28148.55
10 Apr 2019,28137.25,28221.35,28024.2,28056.8
09 Apr 2019,28068.25,28177.25,27885.1,28146.45
08 Apr 2019,28182.35,28269.95,27949.8,28039.3
05 Apr 2019,28111.3,28255.9,28080.25,28143.05
04 Apr 2019,28119.5,28128.35,27864.05,28020.55
03 Apr 2019,28238.7,28342.85,28008.3,28033.15
02 Apr 2019,28398.85,28409.25,28078.6,28137
01 Apr 2019,28450.65,28544.2,28280.55,28334
29 Mar 2019,28019.9,28307.05,27980.25,28281.9
28 Mar 2019,27664.65,27915.3,27648.75,27873.05
27 Mar 2019,27806.65,27904.5,27575.95,27623.2
26 Mar 2019,27497.2,27731.55,27487.05,27681.75
25 Mar 2019,27606.7,27607.5,27353,27423.25
22 Mar 2019,27965.15,28094.95,27737.5,27760
20 Mar 2019,28110.15,28110.2,27906.3,27964.1
19 Mar 2019,28066.65,28105.35,27953.4,28058.65
18 Mar 2019,27995.55,28078.9,27841.1,27970.7
15 Mar 2019,27983.5,28128.55,27866.5,27907.65
14 Mar 2019,28104.4,28143.85,27848.25,27942.1
13 Mar 2019,28269.65,28314.7,28005.35,28047.85
12 Mar 2019,28261.15,28427.35,28156.4,28208.3
11 Mar 2019,27573.25,28106.15,27546.6,28087.55
08 Mar 2019,27401.75,27491.2,27294.45,27458.2
07 Mar 2019,27598.55,27668.55,27393.95,27429.5
06 Mar 2019,27500.5,27714.55,27443.6,27558.1
05 Mar 2019,26884,27378.6,26867.15,27347.05
01 Mar 2019,26613.55,26863.75,26594.45,26847.9
28 Feb 2019,26415.35,26552.1,26347.3,26514.45
27 Feb 2019,26301.65,26658.2,26136.8,26310.85
26 Feb 2019,26006.35,26340.65,25796.35,26199.65
25 Feb 2019,26179.05,26241.65,26093.9,26212.65
22 Feb 2019,25930.2,26124,25867.35,26097.55
21 Feb 2019,25724.95,25944.7,25674.45,25896.95
20 Feb 2019,25434.1,25732.05,25434.1,25677.3
19 Feb 2019,25310.65,25556.9,25307.1,25337.5
18 Feb 2019,25490,25496.65,25131.55,25296.45
15 Feb 2019,25911.55,25932.2,25308.95,25500.6
14 Feb 2019,25767.9,25977.95,25758.4,25945.7
13 Feb 2019,26159.4,26195.6,25787.85,25826.95
12 Feb 2019,26259.25,26336.6,26060.6,26094.4
11 Feb 2019,26486.25,26508.05,26134.5,26240
08 Feb 2019,26897.1,26922.6,26498.05,26536.6
07 Feb 2019,26681.85,27011.4,26652.95,26956.15
06 Feb 2019,26488.9,26709.95,26257,26639.8
05 Feb 2019,26583.55,26642.2,26301.35,26397.75
04 Feb 2019,26820.95,26824.75,26401.05,26588.2
01 Feb 2019,26630.05,27046.25,26537.25,26828.2
31 Jan 2019,26500,26581.3,26337.1,26555.6
30 Jan 2019,26499.2,26506.65,26264.6,26396.15
29 Jan 2019,26309.55,26491.2,26162.5,26398.8
28 Jan 2019,26868.45,26878.4,26237.25,26372.1
25 Jan 2019,27321.45,27375.45,26751.6,26868.3
24 Jan 2019,27300.8,27342.1,27118.4,27232.6
23 Jan 2019,27457.7,27479.35,27227.3,27264.05
22 Jan 2019,27323.2,27452.65,27150.6,27430.75
21 Jan 2019,27441.3,27617.4,27292.25,27322.4
18 Jan 2019,27763.45,27768.6,27335.2,27410.55
17 Jan 2019,27779.35,27847.45,27619.85,27710.65
16 Jan 2019,27740.15,27848.55,27677.5,27727.65
15 Jan 2019,27603.25,27744.15,27574.25,27712.6
14 Jan 2019,27653.7,27659.85,27391.65,27514.85
11 Jan 2019,27816.9,27842,27592.1,27707.55
10 Jan 2019,27719.4,27820.6,27675.95,27798.2
09 Jan 2019,27780.05,27818.9,27470.9,27683.5
08 Jan 2019,27726.75,27799.5,27625.8,27689.1
07 Jan 2019,27893.95,27932,27652.95,27706.6
04 Jan 2019,27707.2,27842.75,27533.9,27719.5
03 Jan 2019,27874.05,28045.3,27630.2,27674.65
02 Jan 2019,28074.05,28188.4,27801.75,27876.95
01 Jan 2019,28243.95,28252.2,27988.6,28111.65
